symbol,entry_date,entry_close,peak_date,peak_close,multiple,days_to_peak,shares,entry_mcap_approx,cap_bucket
AGNT,2018-12-28,3.3891799449920654,2020-12-25,36.75749969482422,10.845543845831495,728,167117937.00564972,566392760.5479953,300M-2B
AGNT,2019-02-08,5.0346598625183105,2021-02-05,63.094600677490234,12.532048321121469,728,167117937.00564972,841381969.7492081,300M-2B
AGX,2024-03-29,50.540000915527344,2026-03-27,566.6199951171875,11.21131746839968,728,14029842.000534188,709068227.5517018,300M-2B
AGX,2024-04-26,61.97999954223633,2026-04-24,652.989990234375,10.53549524132207,728,14029842.000534188,869569600.770757,300M-2B
AGX,2024-06-28,73.16000366210938,2026-06-26,765.4600219726562,10.462820990386296,728,14029842.000534188,1026423292.1378971,300M-2B
AGX,2024-08-02,69.31999969482422,2026-06-26,765.4600219726562,11.042412367895745,693,14029842.000534188,972548643.1954619,300M-2B
AIOS,2018-05-25,324.0,2020-05-22,3256.0,10.049382716049383,728,3249255.0,1052758620.0,300M-2B
AIOS,2018-06-29,396.0,2020-05-29,3990.0,10.075757575757576,700,3249255.0,1286704980.0,300M-2B
AKAN,2026-02-06,4.320000171661377,2026-05-01,57.09000015258789,13.21527728797111,84,540841.1575562701,2336433.8934846246,<50M
ALAB,2024-08-09,40.90999984741211,2026-06-19,417.07000732421875,10.194818109993268,679,173485104.00044388,7097275578.186433,2-10B
ALAB,2024-09-06,40.0,2026-06-19,417.07000732421875,10.426750183105469,651,173485104.00044388,6939404160.0177555,2-10B
ALMS,2025-06-20,2.859999895095825,2026-02-27,29.690000534057617,10.381119448629505,252,129435238.9784946,370184769.9001976,300M-2B
ALOY,2024-12-27,1.6699999570846558,2026-02-27,18.459999084472656,11.053891951409721,427,69418931.02652825,115929611.83516486,50-300M
ALOY,2025-01-17,1.8100999593734741,2026-02-27,18.459999084472656,10.198331306997087,406,69418931.02652825,125655204.2308688,50-300M
ALT,2018-12-14,2.1500000953674316,2020-07-17,28.65999984741211,13.330231895880061,581,194517700.94043887,418213075.5725971,300M-2B
ALT,2019-02-22,2.809999942779541,2020-07-17,28.65999984741211,10.199288409615685,511,194517700.94043887,546594728.5122411,300M-2B
ALT,2019-03-15,2.700000047683716,2020-07-17,28.65999984741211,10.61481457083641,490,194517700.94043887,525197801.8145117,300M-2B
ALT,2019-04-19,2.740000009536743,2020-07-17,28.65999984741211,10.459853922503346,455,194517700.94043887,532978502.43186784,300M-2B
ALT,2019-05-10,2.7699999809265137,2020-07-17,28.65999984741211,10.346570413269776,434,194517700.94043887,538814027.894885,300M-2B
ALT,2020-03-27,2.8499999046325684,2020-07-17,28.65999984741211,10.056140633838742,112,194517700.94043887,554375429.1295972,300M-2B
AMC,2020-03-06,45.28219985961914,2021-06-18,592.3670043945312,13.081674614549382,469,892604637.979094,40419101612.59232,10-50B
AMC,2020-09-11,57.87730026245117,2021-06-18,592.3670043945312,10.234876224502111,280,892604637.979094,51661546647.97255,>50B
AMC,2021-02-12,55.87799835205078,2021-06-18,592.3670043945312,10.601077738368751,126,892604637.979094,49876960490.0287,10-50B
AMLX,2024-04-26,1.7599999904632568,2026-04-17,18.360000610351562,10.431818585134737,721,125458282.992975,220806576.87117258,50-300M
AMLX,2024-05-10,1.7549999952316284,2026-04-17,18.360000610351562,10.46153883774135,707,125458282.992975,220179286.0544394,50-300M
AMLX,2024-07-05,1.7200000286102295,2026-04-17,18.360000610351562,10.674418781949996,651,125458282.992975,215788250.33730727,50-300M
AMLX,2024-08-02,2.0199999809265137,2026-07-31,20.309999465942383,10.054455276096979,728,125458282.992975,253425729.25288266,50-300M
AMLX,2025-01-10,3.5,2026-08-21,38.65999984741211,11.045714242117745,588,125458282.992975,439103990.4754125,300M-2B
AMLX,2025-03-14,3.625,2026-08-21,38.65999984741211,10.664827544113685,525,125458282.992975,454786275.8495344,300M-2B
AMPX,2024-04-19,1.7699999809265137,2026-04-17,18.670000076293945,10.548022755639273,728,146080617.9856115,258562691.0482657,50-300M
AMPX,2024-05-10,1.9700000286102295,2026-05-01,20.8700008392334,10.593908901593519,721,146080617.9856115,287778821.61105466,50-300M
AMPX,2024-11-22,1.940000057220459,2026-05-01,20.8700008392334,10.757732074057232,525,146080617.9856115,283396407.2508863,50-300M
AMPX,2024-12-06,2.049999952316284,2026-05-01,20.8700008392334,10.18048845106191,511,146080617.9856115,299465259.9048369,50-300M
AMPX,2025-03-07,2.0,2026-05-01,20.8700008392334,10.4350004196167,420,146080617.9856115,292161235.971223,50-300M
AMR,2019-12-06,5.849510192871094,2021-10-22,61.822601318359375,10.568850943059083,686,12679045.0,74166202.96337128,50-300M
AMR,2020-01-24,6.23307991027832,2022-01-14,67.81600189208984,10.880014835083626,721,12679045.0,79029500.67101479,50-300M
AMSC,2022-12-09,3.4200000762939453,2024-11-22,34.220001220703125,10.005848086934941,714,48442142.99516908,165672132.73932046,50-300M
AMSC,2022-12-23,3.4000000953674316,2024-11-22,34.220001220703125,10.064705959075873,700,48442142.99516908,164703290.80337763,50-300M
AMSC,2023-10-20,6.019999980926514,2025-09-19,61.54999923706055,10.224252397354267,700,48442142.99516908,291621699.9069573,50-300M
AMTX,2019-05-10,1.1100000143051147,2021-04-02,26.149999618530273,23.55855791128144,693,72169594.21052632,80108250.60607854,50-300M
AMTX,2020-11-13,2.2100000381469727,2021-04-02,26.149999618530273,11.832578808666613,140,72169594.21052632,159494805.9583147,50-300M
AMTX,2020-12-11,2.25,2021-04-02,26.149999618530273,11.622222052680122,112,72169594.21052632,162381586.97368422,50-300M
AMTX,2021-01-01,2.490000009536743,2021-04-02,26.149999618530273,10.502007838704948,91,72169594.21052632,179702290.27247342,50-300M
ANF,2022-07-01,17.18000030517578,2024-06-14,186.05999755859375,10.830034589844557,714,42434376.99810964,729022609.7774677,300M-2B
ANF,2022-08-26,15.869999885559082,2024-06-14,186.05999755859375,11.724007492142402,658,42434376.99810964,673433558.1037709,300M-2B
ANF,2022-11-04,17.149999618530273,2024-06-14,186.05999755859375,10.84897969079598,588,42434376.99810964,727749549.3301501,300M-2B
ANPA,2025-07-11,3.509999990463257,2026-01-16,99.66000366210938,28.393163513643213,189,15101754.822335023,53007159.282374375,50-300M
ANRO,2025-02-14,3.359999895095825,2026-09-04,35.54999923706055,10.580357246126248,567,39242104.0,131853465.32333946,50-300M
